"cohort_month","cohort_customers","months_since_first","returning_customers","retention_rate"
"2016-09-01",1,0.0,1,100.00
"2016-10-01",262,0.0,262,100.00
"2016-10-01",262,6.0,1,0.38
"2016-10-01",262,9.0,1,0.38
"2016-10-01",262,11.0,1,0.38
"2016-10-01",262,13.0,1,0.38
"2016-10-01",262,15.0,1,0.38
"2016-10-01",262,17.0,1,0.38
"2016-10-01",262,19.0,2,0.76
"2016-10-01",262,20.0,2,0.76
"2016-12-01",1,0.0,1,100.00
"2016-12-01",1,1.0,1,100.00
"2017-01-01",717,0.0,717,100.00
"2017-01-01",717,1.0,2,0.28
"2017-01-01",717,2.0,2,0.28
"2017-01-01",717,3.0,1,0.14
"2017-01-01",717,4.0,3,0.42
"2017-01-01",717,5.0,1,0.14
"2017-01-01",717,6.0,3,0.42
"2017-01-01",717,7.0,1,0.14
"2017-01-01",717,8.0,1,0.14
"2017-01-01",717,10.0,3,0.42
"2017-01-01",717,11.0,1,0.14
"2017-01-01",717,12.0,5,0.70
"2017-01-01",717,13.0,3,0.42
"2017-01-01",717,14.0,1,0.14
"2017-01-01",717,15.0,1,0.14
"2017-01-01",717,16.0,2,0.28
"2017-01-01",717,17.0,3,0.42
"2017-01-01",717,19.0,1,0.14
"2017-02-01",1628,0.0,1628,100.00
"2017-02-01",1628,1.0,3,0.18
"2017-02-01",1628,2.0,5,0.31
"2017-02-01",1628,3.0,2,0.12
"2017-02-01",1628,4.0,7,0.43
"2017-02-01",1628,5.0,2,0.12
"2017-02-01",1628,6.0,4,0.25
"2017-02-01",1628,7.0,3,0.18
"2017-02-01",1628,8.0,2,0.12
"2017-02-01",1628,9.0,3,0.18
"2017-02-01",1628,10.0,2,0.12
"2017-02-01",1628,11.0,5,0.31
"2017-02-01",1628,12.0,2,0.12
"2017-02-01",1628,13.0,3,0.18
"2017-02-01",1628,14.0,2,0.12
"2017-02-01",1628,15.0,1,0.06
"2017-02-01",1628,16.0,1,0.06
"2017-02-01",1628,17.0,3,0.18
"2017-03-01",2503,0.0,2503,100.00
"2017-03-01",2503,1.0,11,0.44
"2017-03-01",2503,2.0,9,0.36
"2017-03-01",2503,3.0,10,0.40
"2017-03-01",2503,4.0,9,0.36
"2017-03-01",2503,5.0,4,0.16
"2017-03-01",2503,6.0,4,0.16
"2017-03-01",2503,7.0,8,0.32
"2017-03-01",2503,8.0,8,0.32
"2017-03-01",2503,9.0,2,0.08
"2017-03-01",2503,10.0,9,0.36
"2017-03-01",2503,11.0,3,0.12
"2017-03-01",2503,12.0,5,0.20
"2017-03-01",2503,13.0,3,0.12
"2017-03-01",2503,14.0,4,0.16
"2017-03-01",2503,15.0,6,0.24
"2017-03-01",2503,16.0,2,0.08
"2017-03-01",2503,17.0,3,0.12
"2017-04-01",2256,0.0,2256,100.00
"2017-04-01",2256,1.0,14,0.62
"2017-04-01",2256,2.0,5,0.22
"2017-04-01",2256,3.0,4,0.18
"2017-04-01",2256,4.0,6,0.27
"2017-04-01",2256,5.0,6,0.27
"2017-04-01",2256,6.0,8,0.35
"2017-04-01",2256,7.0,7,0.31
"2017-04-01",2256,8.0,7,0.31
"2017-04-01",2256,9.0,4,0.18
"2017-04-01",2256,10.0,6,0.27
"2017-04-01",2256,11.0,2,0.09
"2017-04-01",2256,12.0,1,0.04
"2017-04-01",2256,13.0,1,0.04
"2017-04-01",2256,14.0,2,0.09
"2017-04-01",2256,15.0,2,0.09
"2017-04-01",2256,16.0,3,0.13
"2017-05-01",3451,0.0,3451,100.00
"2017-05-01",3451,1.0,16,0.46
"2017-05-01",3451,2.0,16,0.46
"2017-05-01",3451,3.0,10,0.29
"2017-05-01",3451,4.0,10,0.29
"2017-05-01",3451,5.0,11,0.32
"2017-05-01",3451,6.0,14,0.41
"2017-05-01",3451,7.0,5,0.14
"2017-05-01",3451,8.0,9,0.26
"2017-05-01",3451,9.0,9,0.26
"2017-05-01",3451,10.0,9,0.26
"2017-05-01",3451,11.0,12,0.35
"2017-05-01",3451,12.0,8,0.23
"2017-05-01",3451,13.0,1,0.03
"2017-05-01",3451,14.0,6,0.17
"2017-05-01",3451,15.0,7,0.20
"2017-06-01",3037,0.0,3037,100.00
"2017-06-01",3037,1.0,15,0.49
"2017-06-01",3037,2.0,12,0.40
"2017-06-01",3037,3.0,13,0.43
"2017-06-01",3037,4.0,9,0.30
"2017-06-01",3037,5.0,12,0.40
"2017-06-01",3037,6.0,11,0.36
"2017-06-01",3037,7.0,7,0.23
"2017-06-01",3037,8.0,4,0.13
"2017-06-01",3037,9.0,6,0.20
"2017-06-01",3037,10.0,9,0.30
"2017-06-01",3037,11.0,11,0.36
"2017-06-01",3037,12.0,5,0.16
"2017-06-01",3037,13.0,5,0.16
"2017-06-01",3037,14.0,7,0.23
"2017-07-01",3752,0.0,3752,100.00
"2017-07-01",3752,1.0,20,0.53
"2017-07-01",3752,2.0,13,0.35
"2017-07-01",3752,3.0,9,0.24
"2017-07-01",3752,4.0,11,0.29
"2017-07-01",3752,5.0,8,0.21
"2017-07-01",3752,6.0,12,0.32
"2017-07-01",3752,7.0,4,0.11
"2017-07-01",3752,8.0,7,0.19
"2017-07-01",3752,9.0,10,0.27
"2017-07-01",3752,10.0,8,0.21
"2017-07-01",3752,11.0,11,0.29
"2017-07-01",3752,12.0,5,0.13
"2017-07-01",3752,13.0,9,0.24
"2017-08-01",4057,0.0,4057,100.00
"2017-08-01",4057,1.0,28,0.69
"2017-08-01",4057,2.0,14,0.35
"2017-08-01",4057,3.0,11,0.27
"2017-08-01",4057,4.0,14,0.35
"2017-08-01",4057,5.0,21,0.52
"2017-08-01",4057,6.0,12,0.30
"2017-08-01",4057,7.0,11,0.27
"2017-08-01",4057,8.0,6,0.15
"2017-08-01",4057,9.0,6,0.15
"2017-08-01",4057,10.0,10,0.25
"2017-08-01",4057,11.0,8,0.20
"2017-08-01",4057,12.0,5,0.12
"2017-09-01",4004,0.0,4004,100.00
"2017-09-01",4004,1.0,28,0.70
"2017-09-01",4004,2.0,22,0.55
"2017-09-01",4004,3.0,11,0.27
"2017-09-01",4004,4.0,18,0.45
"2017-09-01",4004,5.0,9,0.22
"2017-09-01",4004,6.0,9,0.22
"2017-09-01",4004,7.0,10,0.25
"2017-09-01",4004,8.0,11,0.27
"2017-09-01",4004,9.0,7,0.17
"2017-09-01",4004,10.0,10,0.25
"2017-09-01",4004,11.0,3,0.07
"2017-10-01",4328,0.0,4328,100.00
"2017-10-01",4328,1.0,31,0.72
"2017-10-01",4328,2.0,11,0.25
"2017-10-01",4328,3.0,4,0.09
"2017-10-01",4328,4.0,10,0.23
"2017-10-01",4328,5.0,9,0.21
"2017-10-01",4328,6.0,9,0.21
"2017-10-01",4328,7.0,16,0.37
"2017-10-01",4328,8.0,12,0.28
"2017-10-01",4328,9.0,8,0.18
"2017-10-01",4328,10.0,9,0.21
"2017-11-01",7060,0.0,7060,100.00
"2017-11-01",7060,1.0,40,0.57
"2017-11-01",7060,2.0,26,0.37
"2017-11-01",7060,3.0,12,0.17
"2017-11-01",7060,4.0,12,0.17
"2017-11-01",7060,5.0,13,0.18
"2017-11-01",7060,6.0,8,0.11
"2017-11-01",7060,7.0,13,0.18
"2017-11-01",7060,8.0,9,0.13
"2017-11-01",7060,9.0,4,0.06
"2017-12-01",5338,0.0,5338,100.00
"2017-12-01",5338,1.0,11,0.21
"2017-12-01",5338,2.0,15,0.28
"2017-12-01",5338,3.0,18,0.34
"2017-12-01",5338,4.0,14,0.26
"2017-12-01",5338,5.0,11,0.21
"2017-12-01",5338,6.0,9,0.17
"2017-12-01",5338,7.0,1,0.02
"2017-12-01",5338,8.0,10,0.19
"2018-01-01",6842,0.0,6842,100.00
"2018-01-01",6842,1.0,23,0.34
"2018-01-01",6842,2.0,25,0.37
"2018-01-01",6842,3.0,20,0.29
"2018-01-01",6842,4.0,20,0.29
"2018-01-01",6842,5.0,11,0.16
"2018-01-01",6842,6.0,12,0.18
"2018-01-01",6842,7.0,16,0.23
"2018-02-01",6288,0.0,6288,100.00
"2018-02-01",6288,1.0,22,0.35
"2018-02-01",6288,2.0,25,0.40
"2018-02-01",6288,3.0,19,0.30
"2018-02-01",6288,4.0,16,0.25
"2018-02-01",6288,5.0,14,0.22
"2018-02-01",6288,6.0,13,0.21
"2018-03-01",6774,0.0,6774,100.00
"2018-03-01",6774,1.0,27,0.40
"2018-03-01",6774,2.0,20,0.30
"2018-03-01",6774,3.0,20,0.30
"2018-03-01",6774,4.0,8,0.12
"2018-03-01",6774,5.0,8,0.12
"2018-04-01",6582,0.0,6582,100.00
"2018-04-01",6582,1.0,39,0.59
"2018-04-01",6582,2.0,20,0.30
"2018-04-01",6582,3.0,16,0.24
"2018-04-01",6582,4.0,9,0.14
"2018-05-01",6506,0.0,6506,100.00
"2018-05-01",6506,1.0,34,0.52
"2018-05-01",6506,2.0,17,0.26
"2018-05-01",6506,3.0,12,0.18
"2018-06-01",5878,0.0,5878,100.00
"2018-06-01",5878,1.0,25,0.43
"2018-06-01",5878,2.0,16,0.27
"2018-07-01",5949,0.0,5949,100.00
"2018-07-01",5949,1.0,31,0.52
"2018-08-01",6144,0.0,6144,100.00
